State,City,Locality,Dealer,Email,Mobile number
Andaman and Nicobar Islands,Port Blair,Opp : Ambedkar Auditorium,"Goodwill Enterprises
Shop No.2, DMK Building, Aberdeen Bazaar
Opp : Ambedkar Auditorium, Port Blair, Andaman and Nicobar Islands
744101
03192-245885
9932085885",, 9932085885
Andhra Pradesh, Kurnool,Birla Compound,"Sri Vaishanavi Aircon
B Sudheer Kumar
Shop No:28, Shutter No: G26, Krishnakanth Plz
Birla Compound, Kurnool, Andhra Pradesh
518002
9866696709
kishorkng@gmail.com", kishorkng@gmail.com, 9866696709
Andhra Pradesh, Kurnool,N R Peta,"National Aircon India P ltd
SMD Ahtashamuddin
D-43,134, Shop -10, Khalil Hussain Shopping Complex, N R Peta
N R Peta, Kurnool, Andhra Pradesh
518002
9848238864
shamuddin@nationalaircon.in", shamuddin@nationalaircon.in, 9848238864
Andhra Pradesh,Addanki,Bunglow Road,"Sneha Electronics
Mr. Srinivasa Rao
1029/s/1,
Bunglow Road, Addanki, Andhra Pradesh
523229
08593 224456|8886677898", , 
Andhra Pradesh,Amalapuram,Ummidivaram Gate,"Sri Sai Agencies
D Satya Srinivas Rao
7/2/44,
Ummidivaram Gate, Amalapuram, Andhra Pradesh
533201
0885 62390934
9866661665
saiagenciesamp@gmail.com", saiagenciesamp@gmail.com, 9866661665
Andhra Pradesh,Anakapalle,R.T.C. Complex Road,"Freeze Point
Mr.Rama Chandra Rao Alla.|Mr.A.V.Srinivas Rao
Alla Bhavan,,
R.T.C. Complex Road, Anakapalle, Andhra Pradesh
531001
08924-222778|225588
9848140444|9247258900
daikinakp@gmail.com", daikinakp@gmail.com, 9848140444|9247258900
Andhra Pradesh,Anantapur,R.T.C Bus Stand Road,"Royal Air Conditioners
Ravathu Gopi Krishna
#13-2-145, Beside Rajahamsa Palace Apts., R.T.C. Bus Stand Road, (A.P.),
R.T.C Bus Stand Road, Anantapur, Andhra Pradesh
515001
08554-277614|270123
9866312920|9848305036
ravathu@gmail.com", ravathu@gmail.com, 9866312920|9848305036
Andhra Pradesh,Bhimavaram,W.G.,"Anjani Enterprises
A.V.S. Murthy
NS Raju Complex, Near II Town, P.S District. ( A. P),
W.G., Bhimavaram, Andhra Pradesh
534202
9849122276",, 9849122276
Andhra Pradesh,Bhimavaram,West Godavarai,"Reliance Digital Retail Ltd.
JoshiKhan Pattan
RDRL Coastal Castle Bheemavaram Store, 172/5 Undli Road
West Godavarai, Bhimavaram, Andhra Pradesh
534201
9177444604
joshi.pattan@zmail.ril.com", joshi.pattan@zmail.ril.com, 9177444604
Andhra Pradesh,Chirala,Prakasam,"Sneha Electronics
Mr. Nageswara Rao
C Mall Complex, Shopping Complex, Station Road,
Prakasam, Chirala, Andhra Pradesh
523245
89594 238999
Snehaelectronics.ongole@gmail.com", Snehaelectronics.ongole@gmail.com,
Andhra Pradesh,Chittoor,High Road,"Vimsons Enterprises
K.R. Ravindranath|K.R. Ramana
18-941,
High Road, Chittoor, Andhra Pradesh
517001
08572-227787|652022
9246995222|
vimsonsramana@gmail.com", vimsonsramana@gmail.com, 9246995222|
Andhra Pradesh,Eluru,G.N.T. Park,"Sree Lakshmi Agencies
Mr S.V.N.Ravichandra|
D. no. 22B-4-17, Shop No -3 Beside Badati Park,
G.N.T. Park, Eluru, Andhra Pradesh
534002
08812-252199|
9440188877|
08812-252199
srilakshmiagencies@yahoo.com", srilakshmiagencies@yahoo.com, 9440188877|
Andhra Pradesh,Godavari,Bhimavaram (W),"Rahul Agencies
Ms K V Jaya Lakshmi
3-1-168, UNDI Road
Bhimavaram (W), Godavari, Andhra Pradesh
534202
9618396184
rahul.vasavi@rediffmail.com", rahul.vasavi@rediffmail.com, 9618396184
Andhra Pradesh,Guntur,Jinnah Tower Centre,"Vijay TV & Video Home
Javvadi. Gangadhara Rao|Javvadi. Rahul
14, Revenue Complex, (A.P.)
Jinnah Tower Centre, Guntur, Andhra Pradesh
522001
0863-6646462
9885555559
0863-2226465
accounts@vtvh.in", accounts@vtvh.in, 9885555559
Andhra Pradesh,Guntur,Nagaram Palem,"Sai Agencies
K Siva Rama Krishna
D No.26-1-74, Sri Sai Nilayam, Main Road,
Nagaram Palem, Guntur, Andhra Pradesh
522004
0863-2233606
9246482555
saiagenciesgnt@gmail.com", saiagenciesgnt@gmail.com, 9246482555
Andhra Pradesh,Guntur,Pattabhi Seetha Ramaiah Nagar,"Saravan Bhava HVAC Systems
Guntupalli Satish Kumar
11 823/1/A, Near Cross Ward School
Pattabhi Seetha Ramaiah Nagar, Guntur, Andhra Pradesh
522034
9666712567
9246169345
sb.hvacsystems@gmail.com", sb.hvacsystems@gmail.com, 9246169345
Andhra Pradesh,Guntur,Vijayawada,"COOLMAX
No.335/1A1, Krishna Nagar, Near Barath Petrol Bunk, Nulakapeta, Mangalagiri Road, Tadepalli Mandalam,
Vijayawada, Guntur, Andhra Pradesh
522 501",,
