Product Image,Product Name,Product Price,Product Description,Brand URL,Brand,Product Specifications,Product URL
Default,Mahindra Verito Door Switch (All Same) By Mahindra Genuine. 7700427640,"Regular Price:

Rs.460.00 


Special Price

Rs.436.00",Mahindra Verito Door Switch (All Same) By Mahindra Genuine. Pictures Are Generic. Actual product may vary from the image shown. 7700427640,https://spareshub.com/car-brands/mahindra.html,mahindra,"{'SKU': 'MAH0057', 'Pieces in Product': '-', 'Color': '-', 'OEM Part Number': '-', 'Model Version': 'N/A', 'Location': '-', 'Design': '-', 'Material': '-', 'Model Series': '-', 'Dimensions': '-', 'Note': '-', 'Part Category': 'All', 'Part Number': '7700427640', 'Part Diagram': '-', 'Part Brand': 'Mahindra Genuine Parts', 'Vehicle Brand': 'Mahindra', ""decorateTable('product-attribute-specs-table')"": 'Description', 'Details': 'Mahindra Verito Door Switch (All Same) By Mahindra Genuine. Pictures Are Generic. Actual product may vary from the image shown. 7700427640'}",https://spareshub.com/car-brands/mahindra/mahindra-verito-door-switch-all-same-by-mahindra-genuine.html
Default,"Weather Strip Front Door left hand side Marshal. Savari, Bolero 01",Rs.489.00,Weather Strip Front Door left hand side Bolero Pick Tc - Mahindra Genuine Part. Pictures are Generic.,https://spareshub.com/car-brands/mahindra.html,mahindra,"{'SKU': 'D101967', 'Pieces in Product': 'N/A', 'Color': '-', 'OEM Part Number': 'N/A', 'Model Version': '-', 'Location': '-', 'Design': '-', 'Material': '-', 'Model Series': '-', 'Dimensions': '-', 'Note': '-', 'Part Category': 'Body Parts', 'Part Number': '67719', 'Part Diagram': '-', 'Part Brand': 'Mahindra Genuine Parts', 'Vehicle Brand': 'Mahindra', ""decorateTable('product-attribute-specs-table')"": 'Description', 'Details': 'Weather Strip Front Door left hand side Bolero Pick Tc - Mahindra Genuine Part. Pictures are Generic.'}",https://spareshub.com/car-brands/mahindra/weather-strip-front-door-left-hand-side-marshal-savari-bolero-01.html
Default,Lower Arm Bush For Mahindra Scorpio (Bushing Kit),"Regular Price:

Rs.504.90 


Special Price

Rs.455.00",Talbros Lower Arm Bush For Mahindra Scorpio (Bushing Kit). Pictures are generic. Actual product may differ.,https://spareshub.com/car-brands/mahindra.html,mahindra,"{'SKU': 'A102025', 'Pieces in Product': '-', 'Color': '-', 'OEM Part Number': '-', 'Model Version': '-', 'Location': '-', 'Design': '-', 'Material': '-', 'Model Series': '-', 'Dimensions': '-', 'Note': '-', 'Part Category': 'Suspension System', 'Part Number': 'LAB29001RPRO', 'Part Diagram': '-', 'Part Brand': 'Talbros', 'Vehicle Brand': 'Mahindra', ""decorateTable('product-attribute-specs-table')"": 'Description', 'Details': 'Talbros Lower Arm Bush For Mahindra Scorpio (Bushing Kit). Pictures are generic. Actual product may differ.'}",https://spareshub.com/car-brands/mahindra/lower-arm-bush-for-mahindra-scorpio-bushing-kit.html
Default,Mahindra Jeep Tie Rod End (Metal) By Talbros.,"Regular Price:

Rs.505.00 


Special Price

Rs.455.00",Mahindra Jeep Tie Rod End (Metal) By Talbros. Pictures Are Generic. Actual product may vary from the image shown.,https://spareshub.com/car-brands/mahindra.html,mahindra,"{'SKU': 'S6754', 'Pieces in Product': '-', 'Color': '-', 'OEM Part Number': '010936/010937', 'Model Version': 'N/A', 'Location': '-', 'Design': '-', 'Material': '-', 'Model Series': '-', 'Dimensions': '-', 'Note': '-', 'Part Category': 'Drivetrain', 'Part Number': 'TRE05001M', 'Part Diagram': '-', 'Part Brand': 'Talbros', 'Vehicle Brand': 'Mahindra', ""decorateTable('product-attribute-specs-table')"": 'Description', 'Details': 'Mahindra Jeep Tie Rod End (Metal) By Talbros. Pictures Are Generic. Actual product may vary from the image shown.'}",https://spareshub.com/car-brands/mahindra/mahindra-jeep-tie-rod-end-metal-by-talbros.html
Default,Mahindra Maxximo Fuel Temp Msensor By Mahindra Genuine. 1001CAA11270N,"Regular Price:

Rs.1,163.00 


Special Price

Rs.988.00",Mahindra Maxximo Fuel Temp Msensor By Mahindra Genuine. Pictures Are Generic. Actual product may vary from the image shown. 1001CAA11270N,https://spareshub.com/car-brands/mahindra.html,mahindra,"{'SKU': 'MAH2904', 'Pieces in Product': '-', 'Color': '-', 'OEM Part Number': '-', 'Model Version': 'N/A', 'Location': '-', 'Design': '-', 'Material': '-', 'Model Series': '-', 'Dimensions': '-', 'Note': '-', 'Part Category': 'All', 'Part Number': '1001CAA11270N', 'Part Diagram': '-', 'Part Brand': 'Mahindra Genuine Parts', 'Vehicle Brand': 'Mahindra', ""decorateTable('product-attribute-specs-table')"": 'Description', 'Details': 'Mahindra Maxximo Fuel Temp Msensor By Mahindra Genuine. Pictures Are Generic. Actual product may vary from the image shown. 1001CAA11270N'}",https://spareshub.com/car-brands/mahindra/mahindra-maxximo-fuel-temp-msensor-by-mahindra-genuine.html
https://spareshub.com/media/catalog/product/cache/1/image/650x/040ec09b1e35df139433887a97daa66f/d/i/diskbrakeshoekit3_54.jpg,Kit Lined Shoe Scorpio M-Hawk,"Rs.3,300.00",Kit Lined Shoe Bolero Pick Tc - Mahindra Genuine Part. Pictures are Generic.,https://spareshub.com/car-brands/mahindra.html,mahindra,"{'SKU': 'D101058', 'Pieces in Product': 'N/A', 'Color': '-', 'OEM Part Number': 'N/A', 'Model Version': '-', 'Location': '-', 'Design': '-', 'Material': '-', 'Model Series': '-', 'Dimensions': '-', 'Note': '-', 'Part Category': 'Braking System', 'Part Number': '0602BB0710N', 'Part Diagram': '-', 'Part Brand': 'Mahindra Genuine Parts', 'Vehicle Brand': 'Mahindra', ""decorateTable('product-attribute-specs-table')"": 'Description', 'Details': 'Kit Lined Shoe Bolero Pick Tc - Mahindra Genuine Part. Pictures are Generic.'}",https://spareshub.com/car-brands/mahindra/kit-lined-shoe-scorpio-m-hawk.html
Default,Mahindra Jeep Grill W/Emblem (Bolero Sle/Bolero Slx) By Mahindra Genuine. 0102BN0370N,"Regular Price:

Rs.1,250.00 


Special Price

Rs.1,104.00",Mahindra Jeep Grill W/Emblem (Bolero Sle/Bolero Slx) By Mahindra Genuine. Pictures Are Generic. Actual product may vary from the image shown. 0102BN0370N,https://spareshub.com/car-brands/mahindra.html,mahindra,"{'SKU': 'MAH0824', 'Pieces in Product': '-', 'Color': '-', 'OEM Part Number': '-', 'Model Version': 'N/A', 'Location': '-', 'Design': '-', 'Material': '-', 'Model Series': '-', 'Dimensions': '-', 'Note': '-', 'Part Category': 'All', 'Part Number': '0102BN0370N', 'Part Diagram': '-', 'Part Brand': 'Mahindra Genuine Parts', 'Vehicle Brand': 'Mahindra', ""decorateTable('product-attribute-specs-table')"": 'Description', 'Details': 'Mahindra Jeep Grill W/Emblem (Bolero Sle/Bolero Slx) By Mahindra Genuine. Pictures Are Generic. Actual product may vary from the image shown. 0102BN0370N'}",https://spareshub.com/car-brands/mahindra/mahindra-jeep-grill-w-emblem-bolero-sle-bolero-slx-by-mahindra-genuine.html
Default,Mahindra Xylo Assembly Filler Neck By Mahindra Genuine. 1001DA0780N,"Regular Price:

Rs.488.00 


Special Price

Rs.431.00",Mahindra Xylo Assembly Filler Neck By Mahindra Genuine. Pictures Are Generic. Actual product may vary from the image shown. 1001DA0780N,https://spareshub.com/car-brands/mahindra.html,mahindra,"{'SKU': 'MAH3327', 'Pieces in Product': '-', 'Color': '-', 'OEM Part Number': '-', 'Model Version': 'N/A', 'Location': '-', 'Design': '-', 'Material': '-', 'Model Series': '-', 'Dimensions': '-', 'Note': '-', 'Part Category': 'All', 'Part Number': '1001DA0780N', 'Part Diagram': '-', 'Part Brand': 'Mahindra Genuine Parts', 'Vehicle Brand': 'Mahindra', ""decorateTable('product-attribute-specs-table')"": 'Description', 'Details': 'Mahindra Xylo Assembly Filler Neck By Mahindra Genuine. Pictures Are Generic. Actual product may vary from the image shown. 1001DA0780N'}",https://spareshub.com/car-brands/mahindra/mahindra-xylo-assembly-filler-neck-by-mahindra-genuine.html
Default,Ball Joint Lower (122048060C) Bolero Gix.Sle.Slx,Rs.710.00,Ball Joint Lower (122048060C) Bolero Pick Tc - Mahindra Genuine Part. Pictures are Generic.,https://spareshub.com/car-brands/mahindra.html,mahindra,"{'SKU': 'D100760', 'Pieces in Product': 'N/A', 'Color': '-', 'OEM Part Number': 'N/A', 'Model Version': '-', 'Location': '-', 'Design': '-', 'Material': '-', 'Model Series': '-', 'Dimensions': '-', 'Note': '-', 'Part Category': 'Suspension System', 'Part Number': '28923', 'Part Diagram': '-', 'Part Brand': 'Mahindra Genuine Parts', 'Vehicle Brand': 'Mahindra', ""decorateTable('product-attribute-specs-table')"": 'Description', 'Details': 'Ball Joint Lower (122048060C) Bolero Pick Tc - Mahindra Genuine Part. Pictures are Generic.'}",https://spareshub.com/car-brands/mahindra/ball-joint-lower-122048060c-bolero-gix-sle-slx.html
Default,Bonnet Hinge left hand side Bolero All Models,Rs.533.00,Bonnet Hinge left hand side Bolero Pick Tc - Mahindra Genuine Part. Pictures are Generic.,https://spareshub.com/car-brands/mahindra.html,mahindra,"{'SKU': 'D101799', 'Pieces in Product': 'N/A', 'Color': '-', 'OEM Part Number': 'N/A', 'Model Version': '-', 'Location': '-', 'Design': '-', 'Material': '-', 'Model Series': '-', 'Dimensions': '-', 'Note': '-', 'Part Category': 'Body Parts', 'Part Number': '28330', 'Part Diagram': '-', 'Part Brand': 'Mahindra Genuine Parts', 'Vehicle Brand': 'Mahindra', ""decorateTable('product-attribute-specs-table')"": 'Description', 'Details': 'Bonnet Hinge left hand side Bolero Pick Tc - Mahindra Genuine Part. Pictures are Generic.'}",https://spareshub.com/car-brands/mahindra/bonnet-hinge-left-hand-side-bolero-all-models.html
